city,category,count
austin,Deals ,13
austin,Entrepreneur ,13
austin,Energy ,13
austin,Automotive ,14
austin,Communities ,14
austin,Predictive Analytics ,14
austin,Clean Technology ,14
austin,Design ,14
austin,Finance Technology ,14
austin,Mobile Payments ,14
austin,Transportation ,14
austin,Internet of Things ,14
austin,Enterprise Security ,15
austin,Retail ,15
austin,Nonprofits ,16
austin,Personal Health ,16
austin,Film ,17
austin,Consumer Goods ,17
austin,Crowdsourcing ,17
austin,Advertising Platforms ,17
austin,Consumer Electronics ,17
austin,Ventures for Good ,18
austin,Local ,18
austin,Lead Generation ,19
austin,Cloud Computing ,19
austin,Austin ,20
austin,Mobile Health ,20
austin,Reviews and Recommendations ,20
austin,Mobile Advertising ,20
austin,Entertainment Industry ,20
austin,Publishing ,21
austin,Security ,21
austin,Games ,21
austin,Fashion ,21
austin,Video Games ,21
austin,Restaurants ,22
austin,Web Development ,22
austin,Video ,23
austin,Brand Marketing ,23
austin,Mobile Games ,23
austin,K-12 Education ,24
austin,Fitness ,25
austin,University Students ,25
austin,B2B ,25
austin,Real Estate ,25
austin,Social Games ,26
austin,Startups ,26
austin,Events ,27
austin,Big Data Analytics ,28
austin,Location Based Services ,28
austin,Technology ,30
austin,Social Media Platforms ,30
austin,Sports ,30
austin,Music ,31
austin,Social Media Marketing ,32
austin,Mobile Commerce ,33
austin,Sales and Marketing ,34
austin,Financial Services ,35
austin,Big Data ,37
austin,Analytics ,38
austin,Social Commerce ,38
austin,Health Care Information Technology ,38
austin,Health and Wellness ,42
austin,Food and Beverages ,47
austin,Advertising ,49
austin,Health Care ,50
austin,Education ,55
austin,Small and Medium Businesses ,56
austin,Marketplaces ,59
austin,Software ,61
austin,Digital Media ,72
austin,Enterprise Software ,86
austin,SaaS ,108
austin,E-Commerce ,116
austin,Social Media ,125
austin,Mobile ,177
bangalore,Automotive; Internet Of Things; Retail; Government Innovation ,2
bangalore,Wine And Spirits ,2
bangalore,Creative Strategy ,2
bangalore,Employment ,2
bangalore,Marketplace ,2
bangalore,College Admissions ,2
bangalore,Social + Mobile + Local ,2
bangalore,Tablets ,2
bangalore,Investment Management ,2
bangalore,Bitcoin ,2
bangalore,Rental Housing ,2
bangalore,Home Owners ,2
bangalore,Local Coupons ,2
bangalore,Creative Industries ,2
bangalore,Performance Marketing ,2
bangalore,Proximity Services ,2
bangalore,African-American ,2
